hit_group,count,total_bits_avg,total_bits_std,avg_bit0,std_bit0,avg_bit1,std_bit1,avg_bit2,std_bit2,avg_bit3,std_bit3,avg_bit4,std_bit4,avg_bit5,std_bit5,avg_bit6,std_bit6,avg_bit7,std_bit7,avg_bit8,std_bit8,avg_bit9,std_bit9,avg_bit10,std_bit10,avg_bit11,std_bit11,avg_bit12,std_bit12,avg_bit13,std_bit13,avg_bit14,std_bit14,avg_bit15,std_bit15,avg_bit16,std_bit16,avg_bit17,std_bit17,avg_bit18,std_bit18,avg_bit19,std_bit19,avg_bit20,std_bit20,avg_bit21,std_bit21,avg_bit22,std_bit22,avg_bit23,std_bit23,avg_bit24,std_bit24,avg_bit25,std_bit25,avg_bit26,std_bit26,avg_bit27,std_bit27,avg_bit28,std_bit28,avg_bit29,std_bit29,avg_bit30,std_bit30,avg_bit31,std_bit31,avg_bit32,std_bit32,avg_bit33,std_bit33,avg_bit34,std_bit34,avg_bit35,std_bit35,avg_bit36,std_bit36,avg_bit37,std_bit37,avg_bit38,std_bit38,avg_bit39,std_bit39,avg_bit40,std_bit40,avg_bit41,std_bit41,avg_bit42,std_bit42,avg_bit43,std_bit43,avg_bit44,std_bit44,avg_bit45,std_bit45,avg_bit46,std_bit46,avg_bit47,std_bit47,avg_bit48,std_bit48,avg_bit49,std_bit49,avg_bit50,std_bit50,avg_bit51,std_bit51,avg_bit52,std_bit52,avg_bit53,std_bit53,avg_bit54,std_bit54
hit_0,808229,0.132528,0.270771,0.018783,0.135758,0.015251,0.122548,0.486595,0.499821,0.000459,0.021420,0.078666,0.269217,0.000850,0.029142,0.000000,0.000000,0.000163,0.012779,0.000202,0.014200,0.000991,0.031465,0.000000,0.000000,0.000000,0.000000,0.000562,0.023694,0.001073,0.032735,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000766,0.027664,0.000963,0.031011,0.000323,0.017967,0.000042,0.006486,0.000038,0.006193,0.000038,0.006193,0.002988,0.054581,0.001820,0.042623,0.019023,0.136606,0.348662,0.476547,0.319883,0.466431,0.156240,0.363083,0.122302,0.327634,0.019506,0.138294,0.000077,0.008758,0.000000,0.000000,0.043249,0.203417,0.001702,0.041226,0.000038,0.006193,0.429242,0.494968,0.208513,0.406245,0.251956,0.434136,0.010288,0.100906,0.079632,0.270723,0.000268,0.016383,0.000192,0.013847,0.000000,0.000000,0.967411,0.177557,0.997663,0.048288,0.016103,0.125872,0.976760,0.150664,0.997080,0.053958,0.045539,0.208483,0.082192,0.274657,0.014248,0.118513,0.075701,0.264520,0.472266,0.499231,0.022725,0.149025
hit_1,4570,0.119427,0.265551,0.014223,0.118423,0.006783,0.082090,0.341575,0.474290,0.000219,0.014793,0.060613,0.238645,0.000656,0.025616,0.000000,0.000000,0.000219,0.014793,0.001094,0.033063,0.000875,0.029575,0.000000,0.000000,0.000000,0.000000,0.004376,0.066016,0.000656,0.025616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000219,0.014793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002626,0.051181,0.000656,0.025616,0.011379,0.106073,0.210066,0.407400,0.186652,0.389675,0.079869,0.271119,0.087090,0.281997,0.012910,0.112900,0.000000,0.000000,0.000000,0.000000,0.030635,0.172344,0.000219,0.014793,0.000000,0.000000,0.391466,0.488132,0.163676,0.370022,0.245295,0.430309,0.012473,0.110994,0.077462,0.267352,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.957112,0.202628,0.999562,0.020917,0.008096,0.089624,0.972210,0.164388,0.996718,0.057203,0.020569,0.141952,0.068271,0.252239,0.006346,0.079416,0.060394,0.238241,0.517943,0.499733,0.017287,0.130352
