F1,AKTIP,BCL2,BCL_XL,BCL_XL_SS,CKIT,ENE_A9,EWSR1,FGFR,Glutamine_RS,HBV,HIV_SL3,KLF6_mut,KLF6_wt,KRAS,MALAT1,MTOR,MYB,MYCN,MYC_Pu22,NRAS,PreQ1,Pre_miR_17,Pre_miR_21,Pre_miR_31,Pro_mut,Pro_wt,RB1,RRE2B,RRE2B_MeA,SAM_ll,TERRA,TPP,VEGF,ZTP,Zika3PrimeUTR,Zika_NS5
braun_blanquet,0.4911577058618639,0.4969593541008617,0.49514926462752584,0.4853408027975626,0.5185403742194616,0.4873338269028133,0.4997910957767228,0.4794820716689125,0.4453912326086957,0.5244456203719807,0.5038898171671355,0.48792393268662043,0.49861493184312566,0.4911061597249993,0.5134816907491284,0.44273773812709033,0.5026530322179026,0.4997389267941437,0.5028611453467249,0.44735097081055897,0.5054666105453752,0.4915179750724638,0.4835864378489409,0.47835145254294803,0.4819673092951945,0.47923882040453686,0.4940994125079051,0.5003412967033146,0.49575572382587885,0.5579871433097918,0.4469847791923192,0.5063055747425194,0.4951113516624041,0.539986292256129,0.49024069278086246,0.4943856358140928
cosine,0.49078336979539033,0.5034900914494622,0.4941705047768131,0.48270792779870914,0.5213211381987578,0.4844311041781756,0.4997333922585964,0.48025936806547714,0.4471721885093167,0.5313641791457328,0.4993007546988846,0.49026353458664146,0.5015285299623972,0.48683141671882096,0.5064518774013862,0.4518900929765886,0.5030415216071367,0.5025148380763088,0.5012637846754469,0.4571412973115942,0.5062845969988137,0.48705745188405797,0.4786997564108138,0.47525711133616116,0.4752518882639206,0.4737187022621298,0.4933806943832195,0.49979337178692657,0.4981594179302403,0.5623283764210163,0.4560531319653103,0.5098818975716156,0.4925001410308732,0.5381612154531551,0.4881891596019832,0.49111931047633134
kulczynski,0.49104098959884973,0.5055501589851137,0.4947578302136608,0.4811375074342524,0.5217035364906832,0.4828364010613811,0.5002712519218836,0.4815182436864792,0.4476534273291925,0.5338098800289854,0.499322875830983,0.4919530991432472,0.502916773206228,0.4868760463178023,0.5055366984653935,0.4556321508361204,0.503957801503118,0.5026028540346051,0.5017830274290701,0.4607785246407867,0.5068749502057395,0.4851414,0.4768094473244147,0.4737552131537645,0.47300939818535465,0.47176107906868303,0.4942820511730147,0.5000973737211517,0.4989925777411192,0.5627625827480781,0.45952853738102345,0.5107764609570279,0.4923613629855681,0.5376897371275184,0.48668073427522335,0.49113060766899375
russell_rao,0.4735896993049122,0.4974340322620339,0.48298489578138737,0.4837831237055299,0.5203061141293996,0.4866298128815004,0.48270334549864186,0.4676678830868753,0.4536735307453416,0.5258462375201288,0.4784228587329615,0.4780033553432052,0.49612696092655695,0.4713920411070234,0.47318846453567276,0.44672972541806016,0.4876918448628926,0.5059545354924578,0.488735647324327,0.45020383457867497,0.4939562731302694,0.4892732947826087,0.4829841343366778,0.47937339581336164,0.4809815148768116,0.47959328638437304,0.48014000322859024,0.4842544999641841,0.48673171051698955,0.5773655205174354,0.4491051206906775,0.49646363439834557,0.4770396960221045,0.5406953120004074,0.48819732529400506,0.47589887350917975
tanimoto,0.4907526682107605,0.5017444929606777,0.4940924099846116,0.4838067644324249,0.5207130331273292,0.48551402878346117,0.49958618371325414,0.4795630609982303,0.4467394636645962,0.5292637471811594,0.49971307338290794,0.4893423546620458,0.5005189882479436,0.487444285295744,0.5079443860462938,0.4494697190635451,0.5026588260391504,0.5020476854507542,0.5012346796010069,0.4547033828198757,0.5060121436837556,0.48841453681159414,0.4801128595317725,0.4762884469777306,0.47690243897559115,0.4751375072539382,0.49314525316996044,0.49959215687611275,0.4975108934137867,0.5612041921345223,0.45373273187742513,0.5090299700497842,0.49282079284088415,0.5385049785649508,0.48923009625775454,0.4915059344499887
tversky_hit_lig,0.48374622763783515,0.4997648028223676,0.4890977074125994,0.48574571115902915,0.5203577577639752,0.4879523417050298,0.49238409321385074,0.4744410029467156,0.44953926397515526,0.5276738272938808,0.4909086192626784,0.48391032625414826,0.4984919814911868,0.4803944133233041,0.4940306820761678,0.44609927959866225,0.49581132918320486,0.5040197972653061,0.4956148960054864,0.45055935052070395,0.5008152417771192,0.49066329999999997,0.48297198550668896,0.47928728578791086,0.48006839894012204,0.4784561632010082,0.48702877225170677,0.49334750486106255,0.4931767067861461,0.567578641235521,0.4494994123747554,0.5036995090901163,0.4864590157323712,0.5388322658767963,0.49091060889850263,0.4845801837840977
tversky_lig_hit,0.49911583210178134,0.5047662012016156,0.5005854693145401,0.48042337046699435,0.5211227326573499,0.48161012915856777,0.5081325935738401,0.4866589975667272,0.4442256965838509,0.5319382459750402,0.5108641411123188,0.4968778261858853,0.5035390049929495,0.4966856370035742,0.5232288411348377,0.45654962742474914,0.511437455303612,0.49939504083762204,0.508263100222219,0.4624620105600414,0.5123513720080536,0.4842683704347826,0.4755301170557414,0.47180041171792153,0.47198591876964147,0.47029454694770007,0.5014010779363397,0.5072013975812409,0.5026002600188005,0.5530546912179108,0.46169752296076677,0.5151317588534139,0.5006293019663866,0.5378046037830988,0.486004037686711,0.5001460160823413
