F3,braun_blanquet,cosine,kulczynski,russell_rao,tanimoto,tversky_hit_lig,tversky_lig_hit
random_scores,0.49975749400971836,0.49975749400971836,0.49975749400971836,0.49975749400971836,0.49975749400971836,0.49975749400971836,0.49975749400971836
random_512_10,0.5030163495455773,0.5030163495455773,0.5030163495455773,0.5030163495455773,0.5030163495455773,0.5030163495455773,0.5030163495455773
cdk_ECFP0,0.4960727577560024,0.5000012463861556,0.5007630708648159,0.4881717856156648,0.49911780834828945,0.49603822211211046,0.5034832750742066
cdk_ECFP2,0.49028098306362033,0.49490956496848576,0.4960970663185361,0.4869572806936893,0.4939217453117307,0.49093091169677816,0.49769930072781005
cdk_ECFP4,0.4876426381732117,0.4925511009296711,0.4940477736513657,0.48669719306894194,0.49128599547960256,0.48913589766148785,0.4944548738354306
cdk_FCFP0,0.47077633156171195,0.4746197304069987,0.4737016873574341,0.4745487658795896,0.47303185884818366,0.4747321195254755,0.4707948002387439
cdk_FCFP2,0.48052726385567485,0.4859786399454485,0.48753345831230405,0.48078927811127414,0.4846431160176252,0.48282244387194084,0.48766016753767794
cdk_FCFP4,0.48030025845753266,0.4855443189032685,0.48740539833165936,0.48132788513186714,0.48407265866563126,0.48258971033011566,0.48670853019440763
cdk_estate,0.49463970477088615,0.49757045257497345,0.4981203179959706,0.47983924565924746,0.49664159051470036,0.49139661062189366,0.5035587512754794
cdk_maccs,0.505254342007174,0.5051067828687382,0.5052026063513861,0.49018384164150636,0.5050674647225428,0.49846233604708395,0.5125150410440005
cdk_pubchem,0.49954745235282655,0.5006309179777787,0.5012108183237768,0.4831724767149656,0.5003393161006013,0.4927775453489247,0.5093650149441705
cdk_standard,0.4959632992822761,0.4890778053509463,0.4886055733170387,0.4730256345249653,0.49052777147639265,0.48202658370549784,0.5027268976214895
indigo,0.5033043999366187,0.5072728317612785,0.5088496198805174,0.4798792999553585,0.5060659317984987,0.4948450712303707,0.5181591701991004
map4_fingerprint_1024,0.4877738118078554,0.48604037275022194,0.48595945739729657,0.48331845036260646,0.48642942307401366,0.4849389785364496,0.4888712577212159
map4_fingerprint_2048,0.48782826255240835,0.4871048273844571,0.4876221556819728,0.48326786135814337,0.4871720923451252,0.48537711819062374,0.49004617972289455
map4_fingerprint_256,0.4858302026263545,0.48234100548653863,0.4821445268169463,0.481310959877898,0.482712324270446,0.4819809870934322,0.4842714901949898
map4_fingerprint_512,0.4869612628013342,0.48457568348682856,0.48438464693216676,0.4828825424216595,0.48496981575617404,0.48390290828427646,0.48691004329959914
openbabel_fp2,0.49938306048651143,0.5009489230808515,0.5020989674942017,0.4785230510240656,0.5003510131547031,0.49103268364539293,0.5106410675962356
openbabel_fp3,0.520018522845206,0.5284342441038458,0.5301925247416845,0.46865515648825873,0.527312211071112,0.5103680621427753,0.5431231502592859
openbabel_fp4,0.504430831103705,0.505340306387582,0.505849823501793,0.48573049766210974,0.5050206244114128,0.4979444312151511,0.512705316154661
rdkit_atompair,0.4826091870965919,0.48661506778688657,0.4896566272447176,0.4860626548605367,0.484720448208395,0.4846545697428334,0.48688721780124333
rdkit_avalon,0.4919675787111659,0.48653533565968193,0.4855822860858558,0.4680116273676442,0.4885050776305541,0.4800761146442302,0.49955438558755333
rdkit_fratmorgan,0.48996697539836614,0.49491343895420403,0.4964681307077503,0.4888263252564232,0.4936427525200508,0.49147324983807206,0.4967853848813748
rdkit_layered,0.49678905005951024,0.489141196364857,0.4883327814305839,0.45463302248802506,0.4911935522696932,0.4732209718112257,0.5131445011841215
rdkit_morgan,0.48829883479140307,0.49281848967819936,0.4941777665019786,0.4879132972457189,0.4917112359754937,0.4899404977655968,0.4944428158144919
rdkit_rdkit,0.4817598829729227,0.456119392397185,0.4546242926709103,0.4505020099896399,0.45923360598506435,0.4544331857685476,0.46828391445760736
rdkit_torsion,0.4960357090335119,0.49771989793002486,0.4983521670482798,0.49031261139831805,0.49719567862705677,0.49445976458821966,0.5002625325966239
