Method name,p-value,mean EF_1%,relation,mean EF_1% for random scores,p-value description,p-value stars
avg(FP3 LISICA3D),0.0,3.1425302949923464,>,1.0016686927618632,< 0.00001,****
"avg(FP: FP3,MACCS,indigo,RDkitLayered)",0.0,3.0979818888402626,>,1.0016686927618632,< 0.00001,****
avg(LISICA3D SHAFTSfeat),0.0,2.9247729569210588,>,1.0016686927618632,< 0.00001,****
avg(ShaEP LISICA3D SHAFTSfeat),0.0,2.9876737839492677,>,1.0016686927618632,< 0.00001,****
avg(ShaEP LISICA3D),0.0,2.946011575333479,>,1.0016686927618632,< 0.00001,****
max(Align-It LISICA3D),0.0,3.014641544062978,>,1.0016686927618632,< 0.00001,****
max(Align-It ShaEP LISICA3D SHAFTSfeat),0.0,2.996007022086158,>,1.0016686927618632,< 0.00001,****
max(Align-It ShaEP LISICA3D),0.0,2.987484204460966,>,1.0016686927618632,< 0.00001,****
max(Align-It ShaEP),0.0,2.852023721626941,>,1.0016686927618632,< 0.00001,****
max(FP3 Align-It LISICA3D),2.178978402559148e-234,2.1049797001968074,>,1.0016686927618632,< 0.00001,****
max(FP3 Align-It ShaEP LISICA3D SHAFTSfeat),1.0719958337203316e-248,2.1178693837743277,>,1.0016686927618632,< 0.00001,****
max(FP3 Align-It ShaEP LISICA3D),1.281268540366422e-246,2.1106888112836217,>,1.0016686927618632,< 0.00001,****
max(FP3 Align-It ShaEP),8.93533843732242e-253,2.1111558117209706,>,1.0016686927618632,< 0.00001,****
max(FP3 LISICA3D),4.076711008602307e-234,2.054539613820249,>,1.0016686927618632,< 0.00001,****
"max(FP: FP3,MACCS,indigo,RDkitLayered)",1.8352890941682535e-232,1.862692390153173,>,1.0016686927618632,< 0.00001,****
max(LISICA3D SHAFTSfeat),0.0,2.798029821780013,>,1.0016686927618632,< 0.00001,****
max(ShaEP LISICA3D SHAFTSfeat),0.0,2.523946118959107,>,1.0016686927618632,< 0.00001,****
max(ShaEP LISICA3D),0.0,2.4783151322982726,>,1.0016686927618632,< 0.00001,****
