Method name,p-value,mean EF_5%,relation,mean EF_5% for random scores,p-value description,p-value stars
Align-It Tanimoto,0.0,1.5053431209271813,>,0.9953973780887818,< 0.00001,****
Align-It Tversky (DB),0.0,1.8900938970041545,>,0.9953973780887818,< 0.00001,****
Align-It Tversky (Reference),2.75569316451983e-103,1.2175934596544937,>,0.9953973780887818,< 0.00001,****
FP: CDK ECFP0,5.2637594421863075e-104,1.3023459776805253,>,0.9953973780887818,< 0.00001,****
FP: CDK ECFP2,4.937701623634889e-116,1.3549592262582055,>,0.9953973780887818,< 0.00001,****
FP: CDK ECFP4,2.829983532049182e-97,1.2951568094091905,>,0.9953973780887818,< 0.00001,****
FP: CDK Estate,9.268524222097159e-104,1.331304559080963,>,0.9953973780887818,< 0.00001,****
FP: CDK FCFP0,4.9439547491443e-66,1.181751591247265,>,0.9953973780887818,< 0.00001,****
FP: CDK FCFP2,1.0919976357740655e-106,1.304458650109409,>,0.9953973780887818,< 0.00001,****
FP: CDK FCFP4,1.514222793221654e-108,1.305068866739606,>,0.9953973780887818,< 0.00001,****
FP: CDK MACCS,2.54797504313305e-148,1.3788713549234137,>,0.9953973780887818,< 0.00001,****
FP: CDK PubChem,1.004560138446619e-180,1.370111668490153,>,0.9953973780887818,< 0.00001,****
FP: CDK Standard,4.2877226987052e-119,1.309756676367615,>,0.9953973780887818,< 0.00001,****
FP: Indigo,1.0059134181545358e-163,1.3794530249452956,>,0.9953973780887818,< 0.00001,****
FP: MAP4 (1024 bits),1.907178315110682e-64,1.1776462859956236,>,0.9953973780887818,< 0.00001,****
FP: MAP4 (2048 bits),2.2098226253719745e-82,1.2365759137777779,>,0.9953973780887818,< 0.00001,****
FP: MAP4 (256 bits),1.1793841705577004e-21,1.086062782275711,>,0.9953973780887818,< 0.00001,****
FP: MAP4 (512 bits),9.81864013204432e-44,1.133074624726477,>,0.9953973780887818,< 0.00001,****
FP: OpenBabel FP2,5.259009667251852e-135,1.3405985352297594,>,0.9953973780887818,< 0.00001,****
FP: OpenBabel FP3,7.61052798639254e-145,1.3696896562363239,>,0.9953973780887818,< 0.00001,****
FP: OpenBabel FP4,1.0744151433416786e-139,1.3805748196936543,>,0.9953973780887818,< 0.00001,****
FP: RDKit,5.589185796437533e-22,1.1117879146608314,>,0.9953973780887818,< 0.00001,****
FP: RDKit AtomPair,3.1334587645845757e-100,1.282645287308534,>,0.9953973780887818,< 0.00001,****
FP: RDKit Avalon,1.0130732575289979e-110,1.2776947649890593,>,0.9953973780887818,< 0.00001,****
FP: RDKit FeatAtom Morgan,3.752203943257442e-133,1.372423961487965,>,0.9953973780887818,< 0.00001,****
