Method name,p-value,mean EF_10%,relation,mean EF_10% for random scores,p-value description,p-value stars
max(Align-It ShaEP LISICA3D SHAFTSfeat),0.0,1.5840463404767111,>,0.9961490872512574,< 0.00001,****
max(Align-It ShaEP LISICA3D),0.0,1.5806660419855674,>,0.9961490872512574,< 0.00001,****
max(Align-It ShaEP),0.0,1.5764066061666302,>,0.9961490872512574,< 0.00001,****
max(FP3 Align-It LISICA3D),0.0,1.606313338071288,>,0.9961490872512574,< 0.00001,****
max(FP3 Align-It ShaEP LISICA3D SHAFTSfeat),0.0,1.6031719107806692,>,0.9961490872512574,< 0.00001,****
max(FP3 Align-It ShaEP LISICA3D),0.0,1.60385894205117,>,0.9961490872512574,< 0.00001,****
max(FP3 Align-It ShaEP),0.0,1.605119575552154,>,0.9961490872512574,< 0.00001,****
max(FP3 LISICA3D),0.0,1.5880637439317735,>,0.9961490872512574,< 0.00001,****
"max(FP: FP3,MACCS,indigo,RDkitLayered)",0.0,1.4464455315098468,>,0.9961490872512574,< 0.00001,****
max(LISICA3D SHAFTSfeat),0.0,1.4459629313361033,>,0.9961490872512574,< 0.00001,****
max(ShaEP LISICA3D SHAFTSfeat),0.0,1.3860483026459653,>,0.9961490872512574,< 0.00001,****
max(ShaEP LISICA3D),0.0,1.378241562869014,>,0.9961490872512574,< 0.00001,****
