Method name,p-value,mean EF_10%,relation,mean EF_10% for random scores,p-value description,p-value stars
Align-It Tanimoto,0.0,1.3070723901158976,>,0.9961490872512574,< 0.00001,****
Align-It Tversky (DB),0.0,1.569530507106932,>,0.9961490872512574,< 0.00001,****
Align-It Tversky (Reference),8.207810375799977e-58,1.1003253566586484,>,0.9961490872512574,< 0.00001,****
FP: CDK ECFP0,3.0713362654949574e-76,1.1782736958424507,>,0.9961490872512574,< 0.00001,****
FP: CDK ECFP2,2.1032950316125546e-85,1.196316896498906,>,0.9961490872512574,< 0.00001,****
FP: CDK ECFP4,2.7334716752361003e-67,1.1592845260393874,>,0.9961490872512574,< 0.00001,****
FP: CDK Estate,1.4085661908148734e-69,1.171562703501094,>,0.9961490872512574,< 0.00001,****
FP: CDK FCFP0,4.493222652263936e-36,1.0962293645514223,>,0.9961490872512574,< 0.00001,****
FP: CDK FCFP2,1.4900431243661612e-72,1.162328579212254,>,0.9961490872512574,< 0.00001,****
FP: CDK FCFP4,6.739534190664694e-71,1.1599333967177243,>,0.9961490872512574,< 0.00001,****
FP: CDK MACCS,1.0243303076113597e-123,1.2377875043763678,>,0.9961490872512574,< 0.00001,****
FP: CDK PubChem,3.1550818128734743e-173,1.2247420969365426,>,0.9961490872512574,< 0.00001,****
FP: CDK Standard,1.6288719732267413e-101,1.1882662083150985,>,0.9961490872512574,< 0.00001,****
FP: Indigo,1.2324519826015524e-163,1.2480001671772427,>,0.9961490872512574,< 0.00001,****
FP: MAP4 (1024 bits),4.7980525536058734e-27,1.0679544380743982,>,0.9961490872512574,< 0.00001,****
FP: MAP4 (2048 bits),1.295761243744456e-46,1.1084629122222223,>,0.9961490872512574,< 0.00001,****
FP: MAP4 (256 bits),0.015223011757615094,1.010563717943107,>,0.9961490872512574,< 0.05,*
FP: MAP4 (512 bits),2.2931249783078877e-10,1.0344509958424508,>,0.9961490872512574,< 0.00001,****
FP: OpenBabel FP2,7.209098067967021e-115,1.204990093654267,>,0.9961490872512574,< 0.00001,****
FP: OpenBabel FP3,2.1076756749313905e-198,1.2970783266958423,>,0.9961490872512574,< 0.00001,****
FP: OpenBabel FP4,1.1916535217876625e-122,1.240204498905908,>,0.9961490872512574,< 0.00001,****
FP: RDKit,0.15810557709578293,0.9842010199124726,<,0.9961490872512574,≥ 0.05,
FP: RDKit AtomPair,1.643372060628315e-64,1.155608842013129,>,0.9961490872512574,< 0.00001,****
FP: RDKit Avalon,3.7984077284046497e-81,1.153171159299781,>,0.9961490872512574,< 0.00001,****
FP: RDKit FeatAtom Morgan,1.3812654204301976e-102,1.2105526452954047,>,0.9961490872512574,< 0.00001,****
FP: RDKit Layered,3.5881723241469602e-124,1.220132256892779,>,0.9961490872512574,< 0.00001,****
FP: RDKit Morgan,5.332070334156626e-60,1.146908315536105,>,0.9961490872512574,< 0.00001,****
FP: RDKit Torsion,9.309990724945492e-119,1.2129122951859954,>,0.9961490872512574,< 0.00001,****
"FP: random bits (512, 10%)",1.4765519665960462e-33,1.0486317411378556,>,0.9961490872512574,< 0.00001,****
KNIME 3D shape similarity,6.470080068566475e-37,1.0730939013776515,>,0.9961490872512574,< 0.00001,****
LISICA 2D,5.188492976901779e-282,1.3700005243822435,>,0.9961490872512574,< 0.00001,****
LISICA 3D,0.0,1.4142546236606164,>,0.9961490872512574,< 0.00001,****
SHAFTS Feature Score,0.0,1.401640747430571,>,0.9961490872512574,< 0.00001,****
SHAFTS Hybrid Score,2.8439470642782393e-268,1.3353347990378308,>,0.9961490872512574,< 0.00001,****
SHAFTS Shape Score,1.2756622100693042e-110,1.1785103210146513,>,0.9961490872512574,< 0.00001,****
ShaEP Avg Similarity,0.0,1.3008779282746556,>,0.9961490872512574,< 0.00001,****
ShaEP Best Similarity,0.0,1.3231271161163352,>,0.9961490872512574,< 0.00001,****
ShaEP ESP Similarity,0.0,1.3597766739558277,>,0.9961490872512574,< 0.00001,****
ShaEP Shape Similarity,3.159799857386219e-101,1.1536499090312706,>,0.9961490872512574,< 0.00001,****
Siamese NN RDKit (I),1.7687153116582294e-06,0.9659852030634573,<,0.9961490872512574,< 0.00001,****
Siamese NN RDKit (II),9.859124305357665e-13,1.0433397098468271,>,0.9961490872512574,< 0.00001,****
Siamese NN RDKit (III),1.5849732636949695e-08,1.0313864164113786,>,0.9961490872512574,< 0.00001,****
Siamese NN RDKit (~ReSimNet),0.34678639613551954,0.9908297266958422,<,0.9961490872512574,≥ 0.05,
Siamese NN spectro (I),7.323153631066089e-09,1.0263816281263711,>,0.9961490872512574,< 0.00001,****
Siamese NN spectro (II),0.22791010531441822,1.0015340664765247,>,0.9961490872512574,≥ 0.05,
Siamese NN spectro (III),1.2666878635422855e-15,1.03496071785871,>,0.9961490872512574,< 0.00001,****
Siamese NN spectro (~ReSimNet),2.1493704061043344e-74,1.0868199563405,>,0.9961490872512574,< 0.00001,****
Vect. Sim. (Cosine) RDKit,6.2314771294244205e-40,1.11233857702407,>,0.9961490872512574,< 0.00001,****
Vect. Sim. (Cosine) Spctr,0.2737370561168049,1.0010824365949977,>,0.9961490872512574,≥ 0.05,
Vect. Sim. (Euclidean) RDKit,4.2716276057424664e-35,1.1017063133479212,>,0.9961490872512574,< 0.00001,****
Vect. Sim. (Euclidean) Spctr,0.0007768067435688288,1.012621239359368,>,0.9961490872512574,< 0.001,**
Vect. Sim. (Manhattan) RDKit,1.453722988921386e-49,1.1318180369803064,>,0.9961490872512574,< 0.00001,****
Vect. Sim. (Manhattan) Spctr,0.0013828426218348944,1.0116678398420362,>,0.9961490872512574,< 0.01,*
avg(Align-It LISICA3D),0.0,1.6383089079378963,>,0.9961490872512574,< 0.00001,****
avg(Align-It ShaEP LISICA3D SHAFTSfeat),0.0,1.5687307754209492,>,0.9961490872512574,< 0.00001,****
avg(Align-It ShaEP LISICA3D),0.0,1.6689215112617537,>,0.9961490872512574,< 0.00001,****
avg(Align-It ShaEP),0.0,1.5990817570522633,>,0.9961490872512574,< 0.00001,****
avg(FP3 Align-It LISICA3D),0.0,1.8377531849989064,>,0.9961490872512574,< 0.00001,****
avg(FP3 Align-It ShaEP LISICA3D SHAFTSfeat),0.0,1.7594533938333698,>,0.9961490872512574,< 0.00001,****
avg(FP3 Align-It ShaEP LISICA3D),0.0,1.8518385182593484,>,0.9961490872512574,< 0.00001,****
avg(FP3 Align-It ShaEP),0.0,1.8041598095342226,>,0.9961490872512574,< 0.00001,****
avg(FP3 LISICA3D),0.0,1.6806546022304834,>,0.9961490872512574,< 0.00001,****
"avg(FP: FP3,MACCS,indigo,RDkitLayered)",0.0,1.5493432450765865,>,0.9961490872512574,< 0.00001,****
avg(LISICA3D SHAFTSfeat),0.0,1.4425146599606384,>,0.9961490872512574,< 0.00001,****
avg(ShaEP LISICA3D SHAFTSfeat),0.0,1.4945275119177783,>,0.9961490872512574,< 0.00001,****
avg(ShaEP LISICA3D),0.0,1.5089020122457906,>,0.9961490872512574,< 0.00001,****
max(Align-It LISICA3D),0.0,1.5791809641373278,>,0.9961490872512574,< 0.00001,****
