"hit","P1_docksolv_SCORE","P1_docksolv_SCORE.INTER","P1_dock_SCORE","P1_dock_SCORE.INTER","P2_docksolv_SCORE","P2_docksolv_SCORE.INTER","P2_dock_SCORE","P2_dock_SCORE.INTER","docksolv_min","dock_min"
0,-13.2541,-14.7488,-4.54043,-3.8452,-14.3814,-15.4277,-6.58118,-6.94162,-13.2541,-4.54043
0,-27.0339,-26.8859,-15.0307,-14.7296,-14.6613,-14.2874,-14.8252,-14.2508,-14.6613,-14.8252
0,-28.6723,-27.708,-22.7805,-21.7522,-20.6208,-21.6348,-16.2387,-14.3479,-20.6208,-16.2387
0,-24.7389,-25.2589,-20.9531,-21.1072,-19.0961,-20.0408,-12.9083,-12.8437,-19.0961,-12.9083
1,-29.1156,-29.9985,-17.8136,-18.0542,-29.4192,-28.3578,-12.1916,-12.3951,-29.1156,-12.1916
1,-19.6626,-22.0137,-15.2729,-15.452,-21.7312,-23.6887,-12.2006,-12.2403,-19.6626,-12.2006
0,-32.3167,-32.3723,-21.7462,-21.6797,-22.1358,-22.0879,-11.4224,-11.4208,-22.1358,-11.4224
1,-17.3872,-17.4612,-22.8081,-22.3666,-20.0447,-20.0785,-16.2538,-16.7835,-17.3872,-16.2538
0,-20.8842,-20.8627,-13.8615,-13.9159,-21.4955,-21.5061,-11.1618,-11.102,-20.8842,-11.1618
0,-20.35,-20.1313,-15.0234,-14.8145,-18.0976,-18.0459,-12.6001,-12.5073,-18.0976,-12.6001
0,-20.3243,-16.3721,-15.6963,-10.4737,-19.3185,-16.8061,-13.4387,-8.75267,-19.3185,-13.4387
0,-29.9168,-29.9888,-24.9657,-25.2723,-17.3502,-17.0495,-15.2504,-14.961,-17.3502,-15.2504
0,-41.7563,-46.0113,-19.0249,-20.3426,-24.7648,-27.5677,-14.4458,-14.278,-24.7648,-14.4458
0,-23.5526,-27.9011,-13.3237,-15.4209,-19.2303,-18.9918,-15.3219,-16.8695,-19.2303,-13.3237
0,-21.3247,-20.519,-14.9995,-15.1207,-15.4396,-14.6734,-8.40128,-5.92834,-15.4396,-8.40128
