"hit","P1_docksolv_SCORE","P1_docksolv_SCORE.INTER","P1_dock_SCORE","P1_dock_SCORE.INTER","docksolv_min","dock_min"
0,-14.0412,-14.279,-8.5968,-8.38426,-14.0412,-8.5968
0,-31.2675,-28.0805,-16.3446,-14.0718,-31.2675,-16.3446
0,-10.6789,-9.30308,-11.4343,-9.33738,-10.6789,-11.4343
0,-23.3225,-23.2416,-16.8485,-15.3679,-23.3225,-16.8485
0,-19.2886,-16.7749,-16.1706,-14.5121,-19.2886,-16.1706
0,-28.4592,-26.2801,-17.0712,-15.3067,-28.4592,-17.0712
0,-20.3683,-20.2977,-13.0025,-13.6543,-20.3683,-13.0025
0,-28.7364,-25.6486,-14.5149,-13.2683,-28.7364,-14.5149
0,-17.7714,-14.6175,-17.6252,-14.3553,-17.7714,-17.6252
0,-19.4824,-19.1261,-18.3523,-18.0572,-19.4824,-18.3523
0,-13.5157,-20.0842,-23.0975,-17.961,-13.5157,-23.0975
0,-22.8684,-22.3899,-4.85966,-3.88598,-22.8684,-4.85966
0,-13.8994,-13.7384,-7.20214,-7.14931,-13.8994,-7.20214
0,-34.7217,-25.7191,-19.1847,-11.2218,-34.7217,-19.1847
0,-29.692,-29.2593,-18.2392,-17.3249,-29.692,-18.2392
0,-30.3209,-28.2308,-21.5155,-20.0064,-30.3209,-21.5155
0,-28.6061,-27.3445,-15.0297,-13.7771,-28.6061,-15.0297
0,-24.93,-23.2578,-13.363,-8.8492,-24.93,-13.363
0,-25.5769,-27.8824,-9.68634,-11.5439,-25.5769,-9.68634
0,-20.8999,-21.0579,-11.5299,-8.42902,-20.8999,-11.5299
0,-23.5481,-22.5368,-18.0827,-18.4553,-23.5481,-18.0827
0,-30.4425,-28.3273,-16.5038,-14.7353,-30.4425,-16.5038
0,-21.4892,-21.8206,-13.6372,-13.8606,-21.4892,-13.6372
0,-13.0592,-16.0615,-13.5336,-13.4867,-13.0592,-13.5336
0,-24.0499,-20.7495,-17.9044,-14.0642,-24.0499,-17.9044
0,-21.3611,-19.5441,-15.1952,-12.915,-21.3611,-15.1952
0,-22.6505,-22.3005,-11.3352,-10.931,-22.6505,-11.3352
0,-24.9031,-17.8187,-12.8178,-5.60234,-24.9031,-12.8178
0,-20.3944,-19.927,-17.2758,-14.5736,-20.3944,-17.2758
0,-21.6456,-21.4689,-15.2447,-14.5134,-21.6456,-15.2447
0,-16.8919,-15.2658,-10.5329,-8.84386,-16.8919,-10.5329
0,-25.5796,-23.4589,2.0289,1.65423,-25.5796,2.0289
0,-20.8179,-19.0086,-10.8128,-9.35234,-20.8179,-10.8128
0,-19.8051,-21.4928,-10.5268,-10.7584,-19.8051,-10.5268
0,-15.0783,-14.8254,-6.93851,-9.01801,-15.0783,-6.93851
0,-23.9099,-17.6963,-17.5221,-8.72997,-23.9099,-17.5221
0,-33.608,-33.2263,-5.58779,-6.17682,-33.608,-5.58779
0,-9.29097,-9.1828,-5.22033,-2.52295,-9.29097,-5.22033
0,-20.3043,-19.8992,-13.3248,-9.16632,-20.3043,-13.3248
0,-16.2895,-13.7206,-17.4614,-13.2106,-16.2895,-17.4614
0,-15.4933,-16.3179,-11.9243,-12.5688,-15.4933,-11.9243
0,-18.3346,-16.3889,-12.5619,-10.4725,-18.3346,-12.5619
0,-22.7115,-23.5842,-8.56686,-7.60161,-22.7115,-8.56686
0,-22.1326,-25.9527,-8.82022,-11.6736,-22.1326,-8.82022
0,-28.5258,-31.0286,-11.3811,-12.5189,-28.5258,-11.3811
0,-12.8824,-14.2018,-16.1754,-16.3276,-12.8824,-16.1754
0,-11.7229,-15.919,-8.29837,-7.84732,-11.7229,-8.29837
0,-16.6066,-15.8182,-4.66851,-5.17053,-16.6066,-4.66851
0,-17.3156,-17.3222,-6.1871,-4.23965,-17.3156,-6.1871
0,-17.2848,-16.6775,-4.70578,-4.24503,-17.2848,-4.70578
0,-26.8578,-22.7718,-20.8822,-17.2812,-26.8578,-20.8822
0,-15.9989,-18.5235,-14.212,-15.2043,-15.9989,-14.212
0,-8.66688,-15.0499,-11.6757,-10.9967,-8.66688,-11.6757
0,-20.158,-21.5953,-10.6927,-10.3132,-20.158,-10.6927
0,-21.5312,-20.9073,-16.2901,-15.6489,-21.5312,-16.2901
0,-11.2051,-9.34137,-4.52249,-0.900673,-11.2051,-4.52249
0,-15.7343,-16.3125,-9.99507,-11.1359,-15.7343,-9.99507
0,-13.0032,-12.9866,-9.11392,-9.08736,-13.0032,-9.11392
0,-18.4095,-15.8229,1.30897,0.646157,-18.4095,1.30897
0,-28.3432,-27.671,-20.0465,-19.0451,-28.3432,-20.0465
0,-15.1473,-17.3169,-9.15165,-10.4141,-15.1473,-9.15165
0,-24.4667,-22.9829,-17.3066,-16.0337,-24.4667,-17.3066
0,-21.5873,-18.1504,-14.7886,-11.2682,-21.5873,-14.7886
0,-20.5191,-18.79,-11.4965,-8.05529,-20.5191,-11.4965
0,-20.8495,-20.8495,-8.78235,-8.78235,-20.8495,-8.78235
0,-26.5476,-26.7011,-12.8449,-12.1297,-26.5476,-12.8449
0,-22.8672,-21.597,-13.2998,-10.8615,-22.8672,-13.2998
0,-16.0663,-13.315,-2.74218,2.06474,-16.0663,-2.74218
0,-22.2999,-21.2738,-17.2379,-16.1095,-22.2999,-17.2379
0,-16.2361,-17.2945,-12.4032,-13.5799,-16.2361,-12.4032
0,-40.3404,-29.8727,-26.2959,-19.5016,-40.3404,-26.2959
0,4.07774,3.20306,-9.25841,-11.0022,4.07774,-9.25841
0,-21.5716,-21.6144,-7.13042,-8.71303,-21.5716,-7.13042
0,-18.8001,-19.022,-12.0303,-12.918,-18.8001,-12.0303
0,-14.6603,-13.9943,-5.9915,-5.99677,-14.6603,-5.9915
0,6.78085,6.75808,-7.58202,-7.96643,6.78085,-7.58202
0,-24.1327,-25.1104,-10.3916,-10.6542,-24.1327,-10.3916
0,-26.6789,-26.93,-11.99,-11.5299,-26.6789,-11.99
0,-28.6525,-29.1793,-19.7234,-20.0294,-28.6525,-19.7234
0,-19.0992,-18.8991,-15.6133,-16.02,-19.0992,-15.6133
0,-27.7175,-26.9431,-16.6381,-16.5621,-27.7175,-16.6381
0,-22.3914,-20.7578,-19.3516,-19.3217,-22.3914,-19.3516
0,-19.7979,-22.8676,-7.3225,-7.7452,-19.7979,-7.3225
0,-21.9784,-22.14,-12.4723,-11.1445,-21.9784,-12.4723
0,-28.7145,-26.7291,-16.6778,-13.7312,-28.7145,-16.6778
0,-23.8279,-21.0373,-11.8784,-8.4143,-23.8279,-11.8784
0,-19.2208,-20.4449,-14.0138,-13.6926,-19.2208,-14.0138
0,-19.6184,-23.4705,-10.8136,-13.6432,-19.6184,-10.8136
0,-22.6505,-24.0253,-8.62406,-8.50475,-22.6505,-8.62406
0,-14.3515,-9.43768,-0.650357,1.98394,-14.3515,-0.650357
0,-23.7732,-23.2011,-13.185,-13.0343,-23.7732,-13.185
0,-23.6631,-21.6475,-11.8241,-9.47308,-23.6631,-11.8241
0,-26.4869,-26.0565,-11.4588,-12.065,-26.4869,-11.4588
0,-25.0487,-11.7842,-20.9093,-8.16611,-25.0487,-20.9093
0,-22.7424,-23.996,-4.06109,-6.67457,-22.7424,-4.06109
0,-17.9144,-18.0338,-11.0762,-12.1762,-17.9144,-11.0762
0,-20.8651,-20.9904,-12.6566,-12.8212,-20.8651,-12.6566
0,-22.3683,-23.3283,-11.6241,-12.2738,-22.3683,-11.6241
0,-18.5425,-19.2343,-14.6065,-14.2154,-18.5425,-14.6065
0,-19.6424,-20.1329,-6.24632,-7.52472,-19.6424,-6.24632
0,-18.6768,-18.4398,-11.8808,-11.648,-18.6768,-11.8808
0,-12.7582,-11.2094,-17.5436,-18.1572,-12.7582,-17.5436
0,-3.35276,-3.35276,-14.9588,-14.9588,-3.35276,-14.9588
0,-26.3912,-27.441,-11.2378,-11.7513,-26.3912,-11.2378
0,-23.5291,-22.6567,-12.9289,-12.0979,-23.5291,-12.9289
0,-18.0732,-18.6404,-10.231,-9.02982,-18.0732,-10.231
0,-20.5815,-20.2073,-8.15903,-7.8222,-20.5815,-8.15903
0,-10.9866,-10.4442,-1.4537,-2.46441,-10.9866,-1.4537
0,-2.37938,-3.02502,3.18791,4.17995,-2.37938,3.18791
0,-25.5667,-25.5667,-9.51458,-9.51458,-25.5667,-9.51458
0,-21.0743,-21.0413,-12.4784,-12.6464,-21.0743,-12.4784
0,-8.41573,-8.99238,-9.58667,-12.3099,-8.41573,-9.58667
0,-23.2544,-23.8221,-10.8285,-14.0647,-23.2544,-10.8285
0,-10.3829,-11.5657,-5.62406,-6.657,-10.3829,-5.62406
0,-35.2208,-33.8923,-19.1416,-18.856,-35.2208,-19.1416
0,-22.1494,-22.1504,-7.9964,-10.0778,-22.1494,-7.9964
0,-17.2332,-17.2704,-11.1469,-11.298,-17.2332,-11.1469
0,-20.4073,-20.4347,-12.7768,-12.7987,-20.4073,-12.7768
0,-18.4298,-16.1246,-10.27,-14.3626,-18.4298,-10.27
0,-17.1991,-20.1579,-12.1705,-13.7018,-17.1991,-12.1705
0,-17.7552,-11.4396,-12.1944,-7.71528,-17.7552,-12.1944
0,-20.5771,-20.7766,-9.3646,-9.82445,-20.5771,-9.3646
0,-18.4213,-18.7078,-12.7412,-11.9664,-18.4213,-12.7412
0,-19.7775,-19.7993,-12.5074,-12.3545,-19.7775,-12.5074
0,-32.0198,-33.0029,-14.6335,-12.644,-32.0198,-14.6335
0,-31.2762,-29.5238,-13.5933,-10.3358,-31.2762,-13.5933
0,-28.6278,-24.9987,-18.426,-13.9909,-28.6278,-18.426
0,-4.69156,-7.7895,-4.00958,-6.93123,-4.69156,-4.00958
0,-23.8891,-22.8966,-17.2795,-17.0778,-23.8891,-17.2795
0,20.9509,20.2425,-7.64736,-8.51432,20.9509,-7.64736
0,-18.4732,-19.4026,-10.8051,-11.579,-18.4732,-10.8051
0,-25.1929,-26.2714,-11.2885,-12.4944,-25.1929,-11.2885
0,19.396,17.8902,-10.4332,-11.575,19.396,-10.4332
0,-26.1335,-30.6268,-12.706,-14.5597,-26.1335,-12.706
0,-17.7105,-19.0171,-17.377,-18.2565,-17.7105,-17.377
