"hit","P1_docksolv_SCORE","P1_docksolv_SCORE.INTER","P1_dock_SCORE","P1_dock_SCORE.INTER","P2_docksolv_SCORE","P2_docksolv_SCORE.INTER","P2_dock_SCORE","P2_dock_SCORE.INTER","docksolv_min","dock_min"
0,-10.2364,-12.7136,-5.06371,-6.37478,-10.2364,-12.7136,-9.38281,-5.51195,-10.2364,-5.06371
0,-16.0734,-14.9288,-12.8901,-9.87752,-16.0734,-14.9288,-15.9451,-11.5238,-16.0734,-12.8901
0,-12.6242,-12.2376,-11.1726,-9.79469,-12.6242,-12.2376,-20.342,-16.1375,-12.6242,-11.1726
0,-15.7503,-13.9366,-7.26483,-6.17438,-15.7503,-13.9366,-16.4675,-11.4311,-15.7503,-7.26483
0,-22.5023,-19.5152,-12.8698,-10.0511,-22.5023,-19.5152,-21.864,-15.4332,-22.5023,-12.8698
0,-12.046,-18.4961,-12.693,-12.491,-12.046,-18.4961,-21.3282,-15.9472,-12.046,-12.693
0,-19.3493,-15.4847,-4.45706,-1.94647,-19.3493,-15.4847,-18.4812,-13.2711,-19.3493,-4.45706
0,-22.1516,-17.7699,-10.3529,-7.99218,-22.1516,-17.7699,-15.4272,-10.3412,-22.1516,-10.3529
0,-16.8352,-12.4195,-8.33695,-5.40789,-16.8352,-12.4195,-16.2773,-10.3611,-16.8352,-8.33695
0,-15.3661,-10.932,-11.2528,-8.32543,-15.3661,-10.932,-14.9157,-8.81821,-15.3661,-11.2528
0,-6.69741,1.32404,-2.73837,-7.57981,-6.69741,1.32404,-18.5083,-6.55347,-6.69741,-2.73837
0,-24.3237,-22.1259,-17.4058,-16.534,-24.3237,-22.1259,-15.7095,-10.4806,-24.3237,-15.7095
0,-16.2545,-17.1382,-7.51396,-7.60054,-16.2545,-17.1382,-19.5266,-14.5969,-16.2545,-7.51396
0,-9.98698,-9.1035,3.13034,-2.82754,-9.98698,-9.1035,-17.9517,-11.2392,-9.98698,3.13034
0,-13.7422,-13.3973,-9.32904,-7.0032,-13.7422,-13.3973,-14.0855,-10.6125,-13.7422,-9.32904
0,-15.8342,-11.9017,-12.0938,-9.13306,-15.8342,-11.9017,-11.26,-6.24284,-15.8342,-11.26
0,-1.22003,-6.90096,3.90008,-2.06075,-1.22003,-6.90096,-21.3837,-14.7148,-1.22003,3.90008
0,-21.8872,-18.2982,-1.49704,0.499789,-21.8872,-18.2982,-13.9342,-9.99281,-21.8872,-1.49704
0,-13.4297,-11.0355,-12.5836,-10.6358,-13.4297,-11.0355,-19.2444,-14.0118,-13.4297,-12.5836
0,-21.2924,-18.0189,-12.6555,-10.9082,-21.2924,-18.0189,-20.0407,-16.4728,-21.2924,-12.6555
0,-19.5593,-22.4559,3.57921,4.21634,-19.5593,-22.4559,-23.2112,-11.3188,-19.5593,3.57921
0,-20.0604,-21.6068,-0.733918,-5.6946,-20.0604,-21.6068,-11.1875,-5.54183,-20.0604,-0.733918
0,-14.9177,-12.9919,-4.25276,-9.79751,-14.9177,-12.9919,-16.945,-10.2188,-14.9177,-4.25276
0,-23.8703,-22.7244,0.111672,-4.34596,-23.8703,-22.7244,-16.4323,-8.74814,-23.8703,0.111672
0,-22.9905,-25.05,-8.05893,-8.34383,-22.9905,-25.05,-22.3481,-16.394,-22.9905,-8.05893
0,-12.7578,-18.126,31.2631,27.0324,-12.7578,-18.126,-24.6286,-20.7844,-12.7578,31.2631
0,-16.4367,-12.7923,-11.6866,-7.89163,-16.4367,-12.7923,-24.84,-18.0179,-16.4367,-11.6866
0,-18.2374,-19.6532,-9.45613,-6.38237,-18.2374,-19.6532,-18.7332,-12.5658,-18.2374,-9.45613
0,-23.6667,-23.5765,-14.7314,-12.4438,-23.6667,-23.5765,-16.6579,-10.5808,-23.6667,-14.7314
0,-16.8564,-14.6482,-8.27891,-6.98947,-16.8564,-14.6482,-30.7804,-22.8953,-16.8564,-8.27891
0,-17.4752,-17.8416,-5.63471,-7.59882,-17.4752,-17.8416,-20.8076,-15.2751,-17.4752,-5.63471
0,-24.5467,-20.6077,-4.31202,-6.48846,-24.5467,-20.6077,-26.8251,-18.7394,-24.5467,-4.31202
0,-7.53171,-8.73954,7.73069,2.69581,-7.53171,-8.73954,-18.3356,-13.6535,-7.53171,7.73069
0,-20.6542,-18.0447,-8.77648,-7.29152,-20.6542,-18.0447,-7.76072,-2.51066,-20.6542,-7.76072
0,-29.174,-25.9743,-12.4035,-8.79253,-29.174,-25.9743,-18.8522,-10.7932,-29.174,-12.4035
0,-19.4602,-14.6312,-6.12217,-7.50848,-19.4602,-14.6312,-12.8593,-5.11871,-19.4602,-6.12217
0,-18.726,-18.2618,-5.92424,-7.52956,-18.726,-18.2618,-18.5391,-11.071,-18.726,-5.92424
0,-16.65,-17.8735,-4.82983,-0.340097,-16.65,-17.8735,-14.7832,-11.6379,-16.65,-4.82983
0,-21.0964,-18.3209,-9.6913,-5.56263,-21.0964,-18.3209,-22.3361,-14.4208,-21.0964,-9.6913
0,-16.5039,-12.5136,-7.49482,-7.52547,-16.5039,-12.5136,-14.6517,-9.21138,-16.5039,-7.49482
0,-18.8813,-15.4634,-1.85314,-3.3605,-18.8813,-15.4634,-19.5427,-12.3403,-18.8813,-1.85314
0,-25.5442,-20.0813,-13.2075,-12.4483,-25.5442,-20.0813,-18.985,-9.36586,-25.5442,-13.2075
0,-19.2889,-18.3201,-4.55174,-6.51522,-19.2889,-18.3201,-23.0404,-17.5011,-19.2889,-4.55174
0,-12.8668,-12.854,26.225,1.40474,-12.8668,-12.854,-16.0063,-4.76158,-12.8668,26.225
0,-5.762,-9.0015,-2.19114,-4.68018,-5.762,-9.0015,-17.7417,-11.2559,-5.762,-2.19114
0,-7.32993,-12.7178,-1.35936,-4.53682,-7.32993,-12.7178,-22.3581,-17.081,-7.32993,-1.35936
0,-15.6793,-8.71597,-6.4865,-10.2166,-15.6793,-8.71597,-26.5962,-14.6188,-15.6793,-6.4865
0,-21.711,-18.7904,-9.80855,-7.79045,-21.711,-18.7904,-17.6217,-13.4148,-21.711,-9.80855
0,-28.4149,-26.7625,-2.55316,-4.285,-28.4149,-26.7625,-20.3369,-12.6912,-28.4149,-2.55316
0,-16.0826,-16.77,-13.8833,-10.7792,-16.0826,-16.77,-23.1947,-16.6753,-16.0826,-13.8833
0,-15.3534,-13.785,-1.92664,0.471555,-15.3534,-13.785,-13.7086,-7.80006,-15.3534,-1.92664
0,-11.1159,-14.6802,-2.47029,-9.85069,-11.1159,-14.6802,-11.7012,-9.21562,-11.1159,-2.47029
0,-17.1106,-10.9829,-6.76507,-4.65848,-17.1106,-10.9829,-14.4764,-9.91825,-17.1106,-6.76507
0,-9.08384,-17.9757,0.241247,-11.4317,-9.08384,-17.9757,-16.3425,-11.258,-9.08384,0.241247
0,-23.6383,-22.5112,-4.96358,-2.92892,-23.6383,-22.5112,-20.4873,-15.1301,-23.6383,-4.96358
0,-14.712,-12.6206,-12.048,-10.9028,-14.712,-12.6206,-19.8713,-14.9279,-14.712,-12.048
0,1.89934,-7.01005,3.86991,-1.27499,1.89934,-7.01005,-13.8909,-8.96898,1.89934,3.86991
0,-15.651,-14.1732,-8.04077,-3.92072,-15.651,-14.1732,-19.5258,-11.9987,-15.651,-8.04077
0,-9.10776,-11.5183,-8.59976,-6.2152,-9.10776,-11.5183,-22.9696,-14.4966,-9.10776,-8.59976
0,-17.867,-19.024,-13.1162,-10.7553,-17.867,-19.024,-17.9956,-11.5616,-17.867,-13.1162
0,-19.0961,-13.6067,-10.2386,-7.48915,-19.0961,-13.6067,-21.02,-10.6176,-19.0961,-10.2386
0,-21.7457,-17.3108,-10.9781,-7.88447,-21.7457,-17.3108,-17.9764,-10.5475,-21.7457,-10.9781
0,-25.0874,-20.713,-2.92247,-2.15626,-25.0874,-20.713,-18.6801,-11.7899,-25.0874,-2.92247
